country,scenario,pef_assumption,year,type,data_type_id,unit_id,portion,value,service_factor
Finland,Economics,decreasing,2040,PED share,PED_excl_sf,-,WPB reduction,0.3237739734008325,excl. service factor
Finland,Economics,decreasing,2040,PED share,PED_excl_sf,-,other reduction,0.008199410645016815,excl. service factor
Finland,Economics,decreasing,2040,PED share,PED_excl_sf,-,remainder,0.6680266159541507,excl. service factor
Finland,Economics,decreasing,2040,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,129.530626546512,area-scaled PED_excl_sf
Finland,Economics,decreasing,2040,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,64.216967675536,area-scaled PED_excl_sf
Finland,Economics,decreasing,2040,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,193.747594222048,area-scaled PED_excl_sf
Finland,Economics,decreasing,2040,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.32972393409738,area-scaled PED_excl_sf
Finland,Economics,decreasing,2040,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.01114920285947585,area-scaled PED_excl_sf
Finland,Economics,decreasing,2040,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.6591268630431443,area-scaled PED_excl_sf
Finland,Economics,decreasing,2045,PED,PED_excl_sf,GWh/yr,WPBs,31985.20843968214,excl. service factor
Finland,Economics,decreasing,2045,PED,PED_excl_sf,GWh/yr,other,16408.10266548335,excl. service factor
Finland,Economics,decreasing,2045,PED,PED_excl_sf,GWh/yr,total,48393.31110516549,excl. service factor
Finland,Economics,decreasing,2045,PED share,PED_excl_sf,-,WPB reduction,0.3944552788353327,excl. service factor
Finland,Economics,decreasing,2045,PED share,PED_excl_sf,-,other reduction,0.0367659526117101,excl. service factor
Finland,Economics,decreasing,2045,PED share,PED_excl_sf,-,remainder,0.5687787685529572,excl. service factor
Finland,Economics,decreasing,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,108.9036023134932,area-scaled PED_excl_sf
Finland,Economics,decreasing,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,55.86649500097877,area-scaled PED_excl_sf
Finland,Economics,decreasing,2045,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,164.7700973144719,area-scaled PED_excl_sf
Finland,Economics,decreasing,2045,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.3998968094366365,area-scaled PED_excl_sf
Finland,Economics,decreasing,2045,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.03955740519617387,area-scaled PED_excl_sf
Finland,Economics,decreasing,2045,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.5605457853671897,area-scaled PED_excl_sf
Finland,Economics,decreasing,2050,PED,PED_excl_sf,GWh/yr,WPBs,25971.4424689284,excl. service factor
Finland,Economics,decreasing,2050,PED,PED_excl_sf,GWh/yr,other,13977.58023914521,excl. service factor
Finland,Economics,decreasing,2050,PED,PED_excl_sf,GWh/yr,total,39949.02270807361,excl. service factor
Finland,Economics,decreasing,2050,PED share,PED_excl_sf,-,WPB reduction,0.4651365842698328,excl. service factor
Finland,Economics,decreasing,2050,PED share,PED_excl_sf,-,other reduction,0.06533249457840343,excl. service factor
Finland,Economics,decreasing,2050,PED share,PED_excl_sf,-,remainder,0.4695309211517637,excl. service factor
Finland,Economics,decreasing,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,88.3247045390211,area-scaled PED_excl_sf
Finland,Economics,decreasing,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,47.53550544102293,area-scaled PED_excl_sf
Finland,Economics,decreasing,2050,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,135.860209980044,area-scaled PED_excl_sf
Finland,Economics,decreasing,2050,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.4699059591731123,area-scaled PED_excl_sf
Finland,Economics,decreasing,2050,area-specific PED share,area-scaled PED_excl_sf,-,other reduction,0.06789932622361952,area-scaled PED_excl_sf
Finland,Economics,decreasing,2050,area-specific PED share,area-scaled PED_excl_sf,-,remainder,0.4621947146032682,area-scaled PED_excl_sf
Finland,Moderate,constant,2020,PED,PED_excl_sf,GWh/yr,WPBs,58100.90012127475,excl. service factor
Finland,Moderate,constant,2020,PED,PED_excl_sf,GWh/yr,other,26981.93661731167,excl. service factor
Finland,Moderate,constant,2020,PED,PED_excl_sf,GWh/yr,total,85082.83673858643,excl. service factor
Finland,Moderate,constant,2020,PED share,PED_excl_sf,-,WPB reduction,0.0,excl. service factor
Finland,Moderate,constant,2020,PED share,PED_excl_sf,-,other reduction,0.0,excl. service factor
Finland,Moderate,constant,2020,PED share,PED_excl_sf,-,remainder,1.0,excl. service factor
Finland,Moderate,constant,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),WPBs,200.7281149411291,area-scaled PED_excl_sf
Finland,Moderate,constant,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),other,93.21771716701537,area-scaled PED_excl_sf
Finland,Moderate,constant,2020,area-specific PED,area-scaled PED_excl_sf,GWh/(m2 × yr),total,293.9458321081445,area-scaled PED_excl_sf
Finland,Moderate,constant,2020,area-specific PED share,area-scaled PED_excl_sf,-,WPB reduction,0.0,area-scaled PED_excl_sf
